feature,importance
bmi,0.14462821981822535
NoREM2%,0.1021921297695622
Latency start sleep to REM [min],0.09691121749174787
sleep time,0.09492092003967402
Arousal index,0.09491663336861855
NoREM3%,0.09491098645940416
NoREM1%,0.09458480113367283
sleep latency,0.09303328764569425
REM%,0.0927263015942487
age,0.07779940652098898
gender,0.013376096158163027
