run_id,model_name,accuracy,balanced_accuracy,f1_positive,recall_positive,precision_positive,roc_auc,classification_report,confusion_matrix,model_uri
dee0a9636f304d8a95d595dbec6bbb49,lightgbm,0.7566964285714286,0.6150030126531432,0.3312883435582822,0.4153846153846154,0.2755102040816326,0.6578429403494677,"{'0': {'precision': 0.8914285714285715, 'recall': 0.814621409921671, 'f1-score': 0.8512960436562074, 'support': 383.0}, '1': {'precision': 0.2755102040816326, 'recall': 0.4153846153846154, 'f1-score': 0.3312883435582822, 'support': 65.0}, 'accuracy': 0.7566964285714286, 'macro avg': {'precision': 0.583469387755102, 'recall': 0.6150030126531432, 'f1-score': 0.5912921936072448, 'support': 448.0}, 'weighted avg': {'precision': 0.8020654154518951, 'recall': 0.7566964285714286, 'f1-score': 0.7758484978830709, 'support': 448.0}}","[[312, 71], [38, 27]]",runs:/dee0a9636f304d8a95d595dbec6bbb49/model
f414ab2f8ab140fa8ae17697e2ba08a9,random_forest,0.6964285714285714,0.5861417955412733,0.2916666666666667,0.4307692307692308,0.2204724409448819,0.6528419361317533,"{'0': {'precision': 0.8847352024922118, 'recall': 0.741514360313316, 'f1-score': 0.8068181818181818, 'support': 383.0}, '1': {'precision': 0.2204724409448819, 'recall': 0.4307692307692308, 'f1-score': 0.2916666666666667, 'support': 65.0}, 'accuracy': 0.6964285714285714, 'macro avg': {'precision': 0.5526038217185468, 'recall': 0.5861417955412733, 'f1-score': 0.5492424242424242, 'support': 448.0}, 'weighted avg': {'precision': 0.7883577928927108, 'recall': 0.6964285714285714, 'f1-score': 0.7320752164502163, 'support': 448.0}}","[[284, 99], [37, 28]]",runs:/f414ab2f8ab140fa8ae17697e2ba08a9/model
e5dd1199ba8b44479e09355e8616e2d9,logistic_regression,0.14508928571428573,0.49361317533641297,0.25048923679060664,0.9846153846153847,0.14349775784753363,0.591685077324764,"{'0': {'precision': 0.5, 'recall': 0.0026109660574412533, 'f1-score': 0.005194805194805195, 'support': 383.0}, '1': {'precision': 0.14349775784753363, 'recall': 0.9846153846153847, 'f1-score': 0.25048923679060664, 'support': 65.0}, 'accuracy': 0.14508928571428573, 'macro avg': {'precision': 0.3217488789237668, 'recall': 0.49361317533641297, 'f1-score': 0.12784202099270592, 'support': 448.0}, 'weighted avg': {'precision': 0.4482753443305573, 'recall': 0.14508928571428573, 'f1-score': 0.04078439906473175, 'support': 448.0}}","[[1, 382], [1, 64]]",runs:/e5dd1199ba8b44479e09355e8616e2d9/model
