feature,importance
bmi,0.14557322740988654
Latency start sleep to REM [min],0.10170397152091093
NoREM2%,0.10030896406076431
Arousal index,0.09627706512377118
NoREM1%,0.09536272940881249
NoREM3%,0.0945593105469057
REM%,0.09263464414770196
sleep time,0.09211417356314555
sleep latency,0.09008988240332773
age,0.07854054382467571
gender,0.012835487990097991
