feature,importance
bmi,0.1439988235453868
Latency start sleep to REM [min],0.10388988736453751
NoREM2%,0.10263906867642096
Arousal index,0.09651949977965485
REM%,0.09583710780866599
NoREM3%,0.09290762636858028
NoREM1%,0.09193356451019052
sleep latency,0.09115791636807236
sleep time,0.08915186381507277
age,0.07823642334863634
gender,0.01372821841478158
